column,upstream_series,source,consumers
price,price_close,BRK / Bitview,savings
supply,supply,BRK / Bitview,
subsidy_cumulative,subsidy_cumulative,BRK / Bitview,
fees_cumulative,fees_cumulative,BRK / Bitview,
realized_cap,realized_cap,BRK / Bitview,
realized_price,realized_price,BRK / Bitview,
mvrv,mvrv,BRK / Bitview,
supply_in_profit,supply_in_profit,BRK / Bitview,
coindays_destroyed_cumulative,coindays_destroyed_cumulative,BRK / Bitview,
lth_supply,lth_supply,BRK / Bitview,
sth_supply,sth_supply,BRK / Bitview,
lth_transfer_volume_cumulative,lth_transfer_volume_cumulative,BRK / Bitview,
lth_realized_price,lth_realized_price,BRK / Bitview,
sth_realized_price,sth_realized_price,BRK / Bitview,
lth_realized_profit_cumulative,lth_realized_profit_cumulative,BRK / Bitview,
lth_realized_loss_cumulative,lth_realized_loss_cumulative,BRK / Bitview,
sth_realized_profit_cumulative,sth_realized_profit_cumulative,BRK / Bitview,
sth_realized_loss_cumulative,sth_realized_loss_cumulative,BRK / Bitview,
hash_rate,hash_rate,BRK / Bitview,
difficulty,difficulty,BRK / Bitview,
block_subsidy_btc,subsidy_average_24h,BRK / Bitview,
non_zero_addr_count,addr_count,BRK / Bitview,
addr_count_over_0p001_btc,addrs_over_100k_sats_addr_count,BRK / Bitview,
addr_count_over_0p01_btc,addrs_over_1m_sats_addr_count,BRK / Bitview,
addr_count_over_0p1_btc,addrs_over_10m_sats_addr_count,BRK / Bitview,
utxos_over_1y_old_supply,utxos_over_1y_old_supply,BRK / Bitview,
utxos_over_1y_old_transfer_volume_cumulative,utxos_over_1y_old_transfer_volume_cumulative,BRK / Bitview,
utxos_over_2y_old_supply,utxos_over_2y_old_supply,BRK / Bitview,
utxos_over_2y_old_transfer_volume_cumulative,utxos_over_2y_old_transfer_volume_cumulative,BRK / Bitview,
utxos_over_3y_old_supply,utxos_over_3y_old_supply,BRK / Bitview,
utxos_over_3y_old_transfer_volume_cumulative,utxos_over_3y_old_transfer_volume_cumulative,BRK / Bitview,
utxos_over_4y_old_supply,utxos_over_4y_old_supply,BRK / Bitview,
utxos_over_4y_old_transfer_volume_cumulative,utxos_over_4y_old_transfer_volume_cumulative,BRK / Bitview,
utxos_over_5y_old_supply,utxos_over_5y_old_supply,BRK / Bitview,
utxos_over_5y_old_transfer_volume_cumulative,utxos_over_5y_old_transfer_volume_cumulative,BRK / Bitview,
utxos_over_10y_old_supply,utxos_over_10y_old_supply,BRK / Bitview,
utxos_over_10y_old_transfer_volume_cumulative,utxos_over_10y_old_transfer_volume_cumulative,BRK / Bitview,
subsidy_daily,subsidy_cumulative,derived,
fees_daily,fees_cumulative,derived,
market_cap_usd,price × supply,derived,
days_since_genesis,date − 2009-01-03,derived,
