date,price,supply,subsidy_cumulative,fees_cumulative,realized_cap,realized_price,mvrv,supply_in_profit,coindays_destroyed_cumulative,lth_supply,sth_supply,lth_transfer_volume_cumulative,lth_realized_price,sth_realized_price,lth_realized_profit_cumulative,lth_realized_loss_cumulative,sth_realized_profit_cumulative,sth_realized_loss_cumulative,hash_rate,difficulty,block_subsidy_btc,non_zero_addr_count,addr_count_over_0p001_btc,addr_count_over_0p01_btc,addr_count_over_0p1_btc,utxos_over_1y_old_supply,utxos_over_1y_old_transfer_volume_cumulative,utxos_over_2y_old_supply,utxos_over_2y_old_transfer_volume_cumulative,utxos_over_3y_old_supply,utxos_over_3y_old_transfer_volume_cumulative,utxos_over_4y_old_supply,utxos_over_4y_old_transfer_volume_cumulative,utxos_over_5y_old_supply,utxos_over_5y_old_transfer_volume_cumulative,utxos_over_10y_old_supply,utxos_over_10y_old_transfer_volume_cumulative,subsidy_daily,fees_daily,coindays_destroyed_daily,lth_transfer_volume_daily,lth_realized_profit_daily,lth_realized_loss_daily,sth_realized_profit_daily,sth_realized_loss_daily,utxos_over_1y_old_transfer_volume_daily,utxos_over_2y_old_transfer_volume_daily,utxos_over_3y_old_transfer_volume_daily,utxos_over_4y_old_transfer_volume_daily,utxos_over_5y_old_transfer_volume_daily,utxos_over_10y_old_transfer_volume_daily,market_cap_usd,days_since_genesis,years_since_genesis
2009-01-03,0.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49710.26962962963,1.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0027378507871321013
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0054757015742642025
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.008213552361396304
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.010951403148528405
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.013689253935660506
2009-01-09,0.0,700.0,750.0,0.0,0.0,0.0,,700.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695943.7748148149,1.0,50.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.01642710472279261
2009-01-10,0.0,3750.0,3800.0,0.0,0.0,0.0,,3750.0,0.0,0.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032326.4474074077,1.0,50.0,76.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.019164955509924708
2009-01-11,0.0,8400.0,8450.0,0.0,0.0,0.0,,8400.0,0.0,0.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4722475.614814815,1.0,50.0,169.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.02190280629705681
2009-01-12,0.0,13100.0,13150.0,0.0,0.0,0.0,,13100.0,170.1478009,0.0,13100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672765.345185186,1.0,50.0,268.0,268.0,268.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,170.1478009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.024640657084188913
2009-01-13,0.0,19250.0,19300.0,0.0,0.0,0.0,,19250.0,170.1478009,0.0,19250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6114363.164444445,1.0,50.0,391.0,391.0,391.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.02737850787132101
