date,price_close,supply,subsidy_cumulative,fees_cumulative,realized_cap,realized_price,mvrv,supply_in_profit,coindays_destroyed_cumulative,lth_supply,sth_supply,lth_transfer_volume_cumulative,lth_realized_price,sth_realized_price,lth_realized_profit_cumulative,lth_realized_loss_cumulative,sth_realized_profit_cumulative,sth_realized_loss_cumulative,hash_rate,difficulty,subsidy_average_24h,addr_count,addrs_over_100k_sats_addr_count,addrs_over_1m_sats_addr_count,addrs_over_10m_sats_addr_count,utxos_over_1y_old_supply,utxos_over_1y_old_transfer_volume_cumulative,utxos_over_2y_old_supply,utxos_over_2y_old_transfer_volume_cumulative,utxos_over_3y_old_supply,utxos_over_3y_old_transfer_volume_cumulative,utxos_over_4y_old_supply,utxos_over_4y_old_transfer_volume_cumulative,utxos_over_5y_old_supply,utxos_over_5y_old_transfer_volume_cumulative,utxos_over_10y_old_supply,utxos_over_10y_old_transfer_volume_cumulative
2009-01-03,0.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49710.26962962963,1.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-09,0.0,700.0,750.0,0.0,0.0,0.0,,700.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695943.7748148149,1.0,50.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-10,0.0,3750.0,3800.0,0.0,0.0,0.0,,3750.0,0.0,0.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032326.4474074077,1.0,50.0,76.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-11,0.0,8400.0,8450.0,0.0,0.0,0.0,,8400.0,0.0,0.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4722475.614814815,1.0,50.0,169.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-12,0.0,13100.0,13150.0,0.0,0.0,0.0,,13100.0,170.1478009,0.0,13100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672765.345185186,1.0,50.0,268.0,268.0,268.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-13,0.0,19250.0,19300.0,0.0,0.0,0.0,,19250.0,170.1478009,0.0,19250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6114363.164444445,1.0,50.0,391.0,391.0,391.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-14,0.0,25700.0,25750.0,0.0,0.0,0.0,,25700.0,246.82204857,0.0,25700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462335.051851853,1.0,50.0,518.0,518.0,518.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-15,0.0,32000.0,32050.0,0.0,0.0,0.0,,32000.0,926.0836225999999,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6313204.242962963,1.0,50.0,643.0,643.0,643.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-16,0.0,37400.0,37450.0,0.0,0.0,0.0,,37400.0,1334.7653355300001,0.0,37400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5368709.12,1.0,50.0,749.0,749.0,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-17,0.0,42850.0,42900.0,0.0,0.0,0.0,,42850.0,1334.7653355300001,0.0,42850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5418419.389629629,1.0,50.0,858.0,858.0,858.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-18,0.0,48200.0,48250.0,0.0,0.0,0.0,,48200.0,1670.8457753300002,0.0,48200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5368709.12,1.0,50.0,963.0,963.0,963.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,0.0,53950.0,54000.0,0.0,0.0,0.0,,53950.0,4750.95225675,0.0,53950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5766391.277037038,1.0,50.0,1063.0,1063.0,1063.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-20,0.0,59650.0,59700.0,0.0,0.0,0.0,,59650.0,6258.08130763,0.0,59650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5666970.737777778,1.0,50.0,1170.0,1170.0,1170.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-21,0.0,64750.0,64800.0,0.0,0.0,0.0,,64750.0,6610.57146966,0.0,64750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716681.007407408,1.0,50.0,1271.0,1271.0,1271.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-22,0.0,69300.0,69350.0,0.0,0.0,0.0,,69300.0,8578.05295112,0.0,69300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4523634.536296297,1.0,50.0,1352.0,1352.0,1352.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-23,0.0,73500.0,73550.0,0.0,0.0,0.0,,73500.0,10213.12471034,0.0,73500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175662.6488888892,1.0,50.0,1428.0,1428.0,1428.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-24,0.0,83550.0,83600.0,0.0,0.0,0.0,,83550.0,12578.466724169999,0.0,83550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10091184.734814817,1.0,50.0,1620.0,1620.0,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-25,0.0,93100.0,93150.0,0.0,0.0,0.0,,93100.0,12667.31278898,0.0,93100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9544371.768888889,1.0,50.0,1811.0,1811.0,1811.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-26,0.0,97900.0,97950.0,0.0,0.0,0.0,,97900.0,15726.003182409999,0.0,97900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4772185.884444444,1.0,50.0,1887.0,1887.0,1887.0,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-27,0.0,102750.0,102800.0,0.0,0.0,0.0,,102750.0,16007.23119166,0.0,102750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4821896.154074075,1.0,50.0,1982.0,1982.0,1982.0,1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-28,0.0,108350.0,108400.0,0.0,0.0,0.0,,108350.0,16007.23119166,0.0,108350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5567550.198518519,1.0,50.0,2094.0,2094.0,2094.0,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-29,0.0,114400.0,114450.0,0.0,0.0,0.0,,114400.0,17505.75781199,0.0,114400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064652.894814815,1.0,50.0,2203.0,2203.0,2203.0,2203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,0.0,120250.0,120300.0,0.0,0.0,0.0,,120250.0,17505.75781199,0.0,120250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5865811.816296296,1.0,50.0,2320.0,2320.0,2320.0,2320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-31,0.0,127150.0,127200.0,0.0,0.0,0.0,,127150.0,29816.45630728,0.0,127150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6860017.208888889,1.0,50.0,2439.0,2439.0,2439.0,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,132800.0,132850.0,0.0,0.0,0.0,,132800.0,29931.55295079,0.0,132800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5666970.737777778,1.0,50.0,2551.0,2551.0,2551.0,2551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-02,0.0,139200.0,139250.0,0.0,0.0,0.0,,139200.0,30799.66290449,0.0,139200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6362914.512592592,1.0,50.0,2679.0,2679.0,2679.0,2679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-03,0.0,146150.0,146200.0,2.01,0.0,0.0,,146150.0,31680.81363351,0.0,146150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6909727.478518519,1.0,50.0,2828.0,2828.0,2828.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-04,0.0,152100.0,152150.0,2.01,0.0,0.0,,152100.0,31680.81363351,0.0,152100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5965232.355555556,1.0,50.0,2947.0,2947.0,2947.0,2939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-05,0.0,158400.0,158450.0,2.01,0.0,0.0,,158400.0,31680.81363351,0.0,158400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6263493.973333334,1.0,50.0,3073.0,3073.0,3073.0,3065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-06,0.0,164500.0,164550.0,2.01,0.0,0.0,,164500.0,31680.81363351,0.0,164500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6114363.164444445,1.0,50.0,3195.0,3195.0,3195.0,3187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-07,0.0,170950.0,171000.0,2.01,0.0,0.0,,170950.0,42667.65854079,0.0,170950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462335.051851853,1.0,50.0,3305.0,3305.0,3305.0,3297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-08,0.0,177550.0,177600.0,2.01,0.0,0.0,,177550.0,50530.94557782,0.0,177550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6561755.591111111,1.0,50.0,3437.0,3437.0,3437.0,3429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-09,0.0,184250.0,184300.0,2.01,0.0,0.0,,184250.0,64154.08562389,0.0,184250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661176.130370371,1.0,50.0,3527.0,3527.0,3527.0,3519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-10,0.0,190250.0,190300.0,2.01,0.0,0.0,,190250.0,64154.08562389,0.0,190250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064652.894814815,1.0,50.0,3647.0,3647.0,3647.0,3639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-11,0.0,196900.0,196950.0,2.01,0.0,0.0,,196900.0,65352.500378469995,0.0,196900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6611465.860740742,1.0,50.0,3768.0,3768.0,3768.0,3763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-12,0.0,202850.0,202900.0,2.01,0.0,0.0,,202850.0,65352.500378469995,0.0,202850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6014942.625185186,1.0,50.0,3887.0,3887.0,3887.0,3882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-13,0.0,209050.0,209100.0,2.01,0.0,0.0,,209050.0,65352.500378469995,0.0,209050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6164073.434074075,1.0,50.0,4011.0,4011.0,4011.0,4006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-14,0.0,215850.0,215900.0,2.01,0.0,0.0,,215850.0,65352.500378469995,0.0,215850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6810306.939259259,1.0,50.0,4147.0,4147.0,4147.0,4142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-15,0.0,222250.0,222300.0,2.01,0.0,0.0,,222250.0,69052.40199877,0.0,222250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6362914.512592592,1.0,50.0,4265.0,4265.0,4265.0,4260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-16,0.0,228350.0,228400.0,2.01,0.0,0.0,,228350.0,75376.71276249,0.0,228350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064652.894814815,1.0,50.0,4357.0,4357.0,4357.0,4352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-17,0.0,234200.0,234250.0,2.01,0.0,0.0,,234200.0,75376.71276249,0.0,234200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5816101.546666667,1.0,50.0,4474.0,4474.0,4474.0,4469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-18,0.0,240100.0,240150.0,2.01,0.0,0.0,,240100.0,75376.71276249,0.0,240100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5915522.0859259255,1.0,50.0,4592.0,4592.0,4592.0,4587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-19,0.0,246300.0,246350.0,2.01,0.0,0.0,,246300.0,77941.43556332999,0.0,246300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6213783.703703704,1.0,50.0,4700.0,4700.0,4700.0,4695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-20,0.0,252400.0,252450.0,2.01,0.0,0.0,,252400.0,77941.43556332999,0.0,252400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064652.894814815,1.0,50.0,4822.0,4822.0,4822.0,4817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-21,0.0,258100.0,258150.0,2.01,0.0,0.0,,258100.0,77941.43556332999,0.0,258100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716681.007407408,1.0,50.0,4936.0,4936.0,4936.0,4931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-22,0.0,264150.0,264200.0,2.01,0.0,0.0,,264150.0,79924.90026236999,0.0,264150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064652.894814815,1.0,50.0,5050.0,5050.0,5050.0,5045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
