Year,median_household_income_usd
1984,22420.0
1985,23620.0
1986,24900.0
1987,26060.0
1988,27230.0
1989,28910.0
1990,29940.0
1991,30130.0
1992,30640.0
1993,31240.0
1994,32260.0
1995,34080.0
1996,35490.0
1997,37010.0
1998,38890.0
1999,40700.0
2000,41990.0
2001,42230.0
2002,42410.0
2003,43320.0
2004,44330.0
2005,46330.0
2006,48200.0
2007,50230.0
2008,50300.0
2009,49780.0
2010,49280.0
2011,50050.0
2012,51020.0
2013,53590.0
2014,53660.0
2015,56520.0
2016,59040.0
2017,61140.0
2018,63180.0
2019,68700.0
2020,68010.0
2021,70780.0
2022,74580.0
2023,80610.0
2024,83730.0
