date,btc_held,btc_value_usd,cash_value_usd,btc_contributed_usd,cash_contributed_usd,spot_price_usd,total_value_usd,total_contributed_usd,average_purchase_price_usd,cohort_year,cash_only_value_usd,gain_usd,advantage_vs_cash_usd
2026-01-01,0.00942163059406961,833.333333333333,833.333333333333,833.333333333333,833.333333333333,88448.95,1666.66666666667,1666.66666666667,88448.95,2026,1666.66666666667,0,0
2026-01-02,0.00942163059406961,849.316187473113,833.400775720591,833.333333333333,833.333333333333,90145.35,1682.7169631937,1666.66666666667,88448.95,2026,1666.80155144118,16.0502965270377,15.915411752522
2026-01-03,0.00942163059406961,850.781251030491,833.46822356602,833.333333333333,833.333333333333,90300.85,1684.24947459651,1666.66666666667,88448.95,2026,1666.93644713204,17.582807929844,17.3130274644711
2026-01-04,0.00942163059406961,859.546005539542,833.535676870061,833.333333333333,833.333333333333,91231.13,1693.0816824096,1666.66666666667,88448.95,2026,1667.07135374012,26.415015742936,26.0103286694812
2026-01-05,0.00942163059406961,887.59900484969,833.603135633156,833.333333333333,833.333333333333,94208.64,1721.20214048285,1666.66666666667,88448.95,2026,1667.20627126631,54.5354738161793,53.9958692165339
2026-01-06,0.00942163059406961,879.240511051855,833.670599855747,833.333333333333,833.333333333333,93321.48,1712.9111109076,1666.66666666667,88448.95,2026,1667.34119971149,46.244444240936,45.569911196108
2026-01-07,0.00942163059406961,858.985795384419,833.738069538276,833.333333333333,833.333333333333,91171.67,1692.7238649227,1666.66666666667,88448.95,2026,1667.47613907655,26.0571982560284,25.2477258461422
2026-01-08,0.00942163059406961,858.90429827978,833.805544681185,833.333333333333,833.333333333333,91163.02,1692.70984296097,1666.66666666667,88448.95,2026,1667.61108936237,26.0431762942985,25.0987535985946
2026-01-09,0.00942163059406961,850.446406279178,833.873025284916,833.333333333333,833.333333333333,90265.31,1684.31943156409,1666.66666666667,88448.95,2026,1667.74605056983,17.6527648974268,16.5733809942617
2026-01-10,0.00942163059406961,849.807242859676,833.94051134991,833.333333333333,833.333333333333,90197.47,1683.74775420959,1666.66666666667,88448.95,2026,1667.88102269982,17.0810875429192,15.8667315097659
2026-01-11,0.00942163059406961,851.682901078343,834.00800287661,833.333333333333,833.333333333333,90396.55,1685.69090395495,1666.66666666667,88448.95,2026,1668.01600575322,19.0242372882865,17.6748982017336
2026-01-12,0.00942163059406961,859.262226026049,834.075499865457,833.333333333333,833.333333333333,91201.01,1693.33772589151,1666.66666666667,88448.95,2026,1668.15099973091,26.6710592248389,25.1867261605914
2026-01-13,0.00942163059406961,899.527166047006,834.143002316894,833.333333333333,833.333333333333,95474.68,1733.6701683639,1666.66666666667,88448.95,2026,1668.28600463379,67.0035016972333,65.3841637301118
2026-01-14,0.00942163059406961,914.74121513031,834.210510231363,833.333333333333,833.333333333333,97089.48,1748.95172536167,1666.66666666667,88448.95,2026,1668.42102046273,82.2850586950058,80.5307048989466
2026-01-15,0.00942163059406961,899.900262618531,834.278023609306,833.333333333333,833.333333333333,95514.28,1734.17828622784,1666.66666666667,88448.95,2026,1668.55604721861,67.5116195611702,65.6222390092257
2026-01-16,0.00942163059406961,899.683659331174,834.345542451164,833.333333333333,833.333333333333,95491.29,1734.02920178234,1666.66666666667,88448.95,2026,1668.69108490233,67.3625351156711,65.3381168800092
2026-01-17,0.00942163059406961,896.648292602682,834.413066757381,833.333333333333,833.333333333333,95169.12,1731.06135936006,1666.66666666667,88448.95,2026,1668.82613351476,64.3946926933966,62.2352258453006
2026-01-18,0.00942163059406961,898.273523880159,834.480596528399,833.333333333333,833.333333333333,95341.62,1732.75412040856,1666.66666666667,88448.95,2026,1668.9611930568,66.0874537418911,63.7929273517602
2026-01-19,0.00942163059406961,870.7246760231,834.548131764659,833.333333333333,833.333333333333,92417.62,1705.27280778776,1666.66666666667,88448.95,2026,1669.09626352932,38.6061411210919,36.1765442584406
